Study_Code,Clinical_Department,Country,Phase,Rare_Disease,New_Indication,Elderly_Usage,Number_of_Sites,CTT_Actual,Actual_Final_Protocol,CTT_FP_Weeks,Risk_Score,Success_Score,FSI_Demand
7f08ef5e,Infectious Disease,India,4,0,0,0,25,18,3,26,0.9489404699535905,0.4007073426835944,1.57034734471042
d036f63f,Endocrinology,Canada,1,0,0,0,12,24,5,7,0.8935527166294781,0.43857664476556535,1.1407739694079673
52b64b68,Neurology,Australia,2,0,0,1,43,28,8,23,0.9053595212151708,0.24029934686834353,1.3150180453680957
0d05cc0b,Endocrinology,India,3,1,0,1,13,5,10,20,0.36010723990685634,0.8517300347878662,0.9096307000368264
896e717d,Endocrinology,UK,2,0,1,0,28,17,5,9,0.23632290123432248,0.5581059864793678,0.0613609410253012
e97599e7,Cardiology,Canada,3,1,0,0,35,26,9,21,0.6753363058791313,0.6013171689792945,0.7557935530088274
6aff4bf5,Neurology,Japan,1,0,1,1,29,6,2,23,0.5392950326819415,0.895142723677973,0.30267262769341663
089281d9,Neurology,France,1,1,0,0,21,26,6,42,0.18887204682565395,0.11424755480778453,2.1325717739091408
de5e5c2f,Neurology,France,4,1,1,0,46,18,5,48,0.7097871844201697,0.16023075627096287,1.6826301807954023
65eeaa71,Endocrinology,Japan,1,0,0,0,33,5,9,44,0.606574006736296,0.24542108367383353,1.5995215926079367
c107be6e,Infectious Disease,Japan,1,1,1,1,7,19,7,37,0.8767606607293952,0.127034031779331,6.011806752352245
e7c64d78,Neurology,Japan,4,0,1,1,25,22,8,43,0.6482654161195588,0.6923405409619595,1.6945568687396215
c236b8de,Endocrinology,Germany,4,0,0,0,12,13,7,49,0.6165515617495783,0.6704915213694886,4.086439179723351
e61d13b6,Cardiology,Canada,3,0,0,1,18,26,10,27,0.49667655099936514,0.28972171263608704,1.6081108973185176
ace3f00e,Infectious Disease,France,1,0,0,1,43,12,10,21,0.5165083628999833,0.23446580039802528,0.8861153253067751
ea1cc1c0,Cardiology,Canada,3,1,1,0,20,11,5,33,0.9589431042812044,0.23111623124794606,2.1748920600266977
b5e21053,Infectious Disease,India,3,0,1,1,22,13,11,4,0.2246014084602154,0.9579172719867781,0.0
a7a1964a,Endocrinology,France,2,1,1,1,35,13,5,26,0.5015969367239684,0.7241540757622674,0.5753267505978356
4f727902,Oncology,Germany,1,1,1,1,15,15,11,32,0.6902445105341586,0.6268859456185714,2.1345147471346397
520520ee,Infectious Disease,Japan,1,1,0,1,42,8,4,44,0.48970958103135964,0.3902381846245848,1.2335310282965306
6537a796,Cardiology,UK,2,0,0,1,24,11,2,44,0.354894064336682,0.4897388781179107,1.5937086151918918
0998feac,Endocrinology,Japan,3,1,0,1,49,25,9,35,0.3586216336865694,0.1804652930792869,0.9039356603323843
56b3b09e,Infectious Disease,Australia,1,0,0,0,8,11,10,5,0.3102904416319442,0.9983366992495013,0.0
126b1d80,Oncology,Japan,3,1,1,0,24,8,10,51,0.40951288052478074,0.7795769172144713,1.7785494447062107
2a83ec7b,Oncology,Germany,2,0,1,0,35,16,10,39,0.8845072980252103,0.6593078411454051,1.255513415453985
9598e326,Neurology,Canada,4,0,0,1,24,21,10,48,0.5547020952906957,0.628990475705094,1.876103902349844
cf96b659,Neurology,France,3,0,1,0,15,24,3,20,0.31621485527003657,0.5538829348298553,1.1083397403885962
17d8e3bc,Cardiology,Japan,1,0,0,1,5,7,11,46,0.4460740453238792,0.33168468490722625,9.241714986119993
c2eb2ea4,Infectious Disease,France,4,1,1,1,48,13,11,5,0.19524737087071123,0.3037513631137604,0.022807953851278324
7d42d67e,Infectious Disease,USA,3,1,1,0,22,9,3,7,0.9136321657648642,0.594579211470302,0.5758221756537225
96b029d3,Neurology,India,3,0,1,1,43,24,3,47,0.46737804888228884,0.16318073310215653,1.49722057420181
1205018f,Infectious Disease,Canada,4,1,1,0,48,20,8,37,0.9823520841337682,0.1670237189816821,1.742430193542513
571d6ef1,Infectious Disease,France,4,0,1,1,37,12,6,4,0.4127848959362673,0.6047322428443151,0.0
b042f5a5,Oncology,UK,4,0,1,0,40,25,1,26,0.8527204425044089,0.9278308433892153,0.6669154752122042
2777a2a4,Neurology,India,1,1,0,0,22,20,3,9,0.3307467819623079,0.9228446660168691,0.0
d6b91edc,Endocrinology,Australia,1,0,1,0,35,23,4,19,0.16853760403984203,0.1097454705947131,0.5080061566281373
e346f159,Neurology,Australia,3,0,0,0,39,20,2,5,0.12856002550642062,0.1966547940827048,0.017538585573327797
7fc95b78,Endocrinology,UK,3,0,0,1,43,22,6,49,0.6455515839803052,0.6247699243828255,1.1688735173940312
70ad9ad1,Oncology,Japan,2,0,0,0,42,19,10,15,0.38041630450623043,0.8636281496255477,0.0
3a91e1b8,Cardiology,India,1,0,0,1,19,28,1,30,0.49916789242824555,0.9590041779911458,1.181676759002702
ee931fd9,Infectious Disease,France,3,1,0,0,10,22,1,22,0.8367823320407158,0.8745240034412013,2.170860413493151
6dbcc345,Oncology,India,4,1,0,0,12,18,8,31,0.32329727712532197,0.7098518217668103,2.2968331844387606
7610119d,Infectious Disease,Japan,4,1,1,0,44,28,4,38,0.3777872290614219,0.2804725698303122,1.0217647782446093
c9ca8df2,Cardiology,Germany,1,0,1,1,26,20,1,46,0.8608025665528005,0.1653593265810661,2.4766688409188924
3a8d137b,Cardiology,Canada,4,0,1,0,5,9,7,7,0.5434860460091537,0.14276420441708026,1.765138348057127
11a92292,Oncology,UK,2,0,0,0,17,12,9,10,0.8448986503472389,0.6508691061628702,0.9345510104723146
64ef31fa,Cardiology,Japan,3,0,0,1,28,20,10,40,0.4370284031196847,0.13256974361382196,1.9500173567608947
8f1b7747,Endocrinology,Germany,3,0,0,0,25,25,7,28,0.4585329827443977,0.7653159608189956,0.7793020814194213
87de90cc,Cardiology,India,3,0,1,1,49,5,1,44,0.2504245256004306,0.7412236636158722,0.5113893930282829
35fc9774,Infectious Disease,India,1,1,1,0,47,15,1,20,0.9247112682354697,0.17164974229901103,1.1079184749335453
892eeb30,Infectious Disease,Japan,4,0,1,0,8,15,1,44,0.9071053246113485,0.9159601285331151,5.432376600709328
7c5b0cf0,Infectious Disease,France,2,1,0,0,11,6,8,17,0.9857953131082962,0.569736359762772,1.9228890036502198
b394f08b,Infectious Disease,India,1,0,0,1,16,26,7,40,0.46220241445274035,0.9139947106039584,2.1166759726094164
259a8e7f,Endocrinology,France,3,1,0,0,17,23,3,5,0.8367534475827779,0.9114490505694899,0.11193071463820571
e9ee2287,Neurology,France,2,0,1,0,48,28,3,27,0.4734583585049067,0.27733065749840646,0.9136241237069236
8dde0e6e,Oncology,Canada,3,1,0,0,20,9,3,18,0.5088689100288755,0.4425198651426563,1.060136270623522
40dc3c48,Infectious Disease,France,3,1,0,1,10,7,2,51,0.8469994542353421,0.22116370015343462,5.791987274624796
2ec13f8d,Cardiology,USA,1,0,0,1,18,27,4,36,0.2596300937977598,0.7974802091226887,1.4327684180748022
a9716b76,Infectious Disease,Canada,3,0,0,1,35,12,7,15,0.2982798410155771,0.5537124239840763,0.2560876045886035
f0227840,Cardiology,Germany,2,1,1,1,40,8,9,22,0.3832554163562335,0.9359268178554837,0.0
776aaee4,Cardiology,Germany,3,0,1,1,41,17,3,50,0.8093611292500518,0.2873936933886496,1.7855697673326032
37fac5e7,Infectious Disease,India,4,0,0,1,45,29,10,8,0.43538639443127447,0.7195308953673034,0.0
7988b695,Endocrinology,India,3,0,0,0,39,26,7,4,0.4223513874526854,0.990313144995438,0.0
b3be9535,Cardiology,France,1,1,1,0,14,18,4,46,0.9989347107297176,0.6988431356388922,3.626431159078328
4a501a8c,Cardiology,Canada,2,0,1,0,21,5,1,12,0.44542552878953157,0.16189653954764138,0.914046733258069
4548e403,Infectious Disease,Canada,1,1,0,0,46,9,5,42,0.3229934826840283,0.6295819147256715,0.4210817717358084
d722612f,Cardiology,USA,4,1,1,0,34,25,8,37,0.660892310380849,0.2618584747131131,1.3685919880201747
6ac0f243,Cardiology,France,3,0,1,1,48,11,3,32,0.8216919567595008,0.12745249967738387,1.5673450389338788
b91ec94d,Infectious Disease,USA,1,1,0,1,11,27,10,51,0.16264705035084334,0.4014646275746928,4.378910704529541
85441cef,Infectious Disease,Australia,1,0,1,1,22,10,4,51,0.6570030080246275,0.3394936747486592,2.7332537574076254
7273871e,Oncology,France,1,0,1,0,23,19,3,49,0.13216191029220228,0.8098938089341787,1.565383076395687
54a185bc,Endocrinology,UK,1,1,1,1,19,19,10,5,0.5736991158815662,0.43631248697029046,0.43993820504764464
2bd433d3,Endocrinology,UK,4,1,1,0,43,12,8,22,0.33129240738202825,0.7596629023466768,0.18498154713102358
8fe2fb75,Cardiology,Japan,4,1,0,1,48,6,10,31,0.37597752790586714,0.1146150927543983,0.6959069326683304
1a6a6b62,Endocrinology,France,3,1,1,0,26,18,8,38,0.5203863675841444,0.11333092009005195,1.8455409678644883
dd767fe1,Cardiology,Canada,3,1,1,1,43,20,4,43,0.9343967146710284,0.1263821117928014,1.4999547301608342
f761279f,Oncology,India,2,0,0,0,46,27,11,51,0.7396005759290888,0.29742259760432244,1.3762642640419545
71190c20,Infectious Disease,Germany,4,1,1,1,34,14,2,25,0.9431610366560468,0.43658900652570554,1.1872646980789052
d6ba044e,Infectious Disease,Japan,1,0,0,0,24,19,3,7,0.6939739041028099,0.6470612228051691,0.27204090406468945
03e46825,Infectious Disease,India,1,0,0,1,36,27,3,11,0.1063969723790737,0.9873224972442756,0.0
44027be0,Endocrinology,UK,2,1,1,0,46,8,4,4,0.33902667761290983,0.41896861031289934,0.004949537878841978
ba8b245b,Oncology,France,1,1,1,0,29,16,11,39,0.9151953199483365,0.15009301608144962,2.1233041330719065
